time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-11T10:15:33.100Z,36.0516667,-117.3528333,4.44,1.16,ml,10,155,0.1105,0.14,ci,ci37522848,2016-02-11T17:22:20.314Z,"32km N of Searles Valley, California",earthquake,0.4,0.75,0.143,5,reviewed,ci,ci
2016-02-11T10:13:13.590Z,33.2105,-115.6223333,3.67,1.91,ml,47,75,0.0273,0.22,ci,ci37522840,2016-02-11T16:33:48.364Z,"10km WSW of Niland, California",earthquake,0.21,0.31,0.15,52,reviewed,ci,ci
2016-02-11T09:56:54.750Z,37.6573333,-119.4065,9.41,1.21,md,10,151,0.2606,0.15,nc,nc72589235,2016-02-11T17:45:08.424Z,"17km ESE of Yosemite Valley, California",earthquake,0.39,3.54,0.156,7,reviewed,nc,nc
2016-02-11T09:25:00.640Z,47.2366667,-120.6891667,7.371,1.75,ml,8,146,0.02367,0.11,uw,uw61108322,2016-02-11T18:47:05.370Z,"19km ENE of Cle Elum, Washington",earthquake,0.56,0.49,0.166,27,reviewed,uw,uw
2016-02-11T09:07:53.180Z,46.8976667,-112.5508333,10.17,2.18,ml,23,112,0.193,0.22,mb,mb80124094,2016-02-11T15:14:18.090Z,"11km ESE of Lincoln, Montana",earthquake,0.58,0.87,0.228,6,reviewed,mb,mb
2016-02-11T08:52:28.500Z,34.373,-117.6493333,6.22,1.34,ml,37,53,0.02553,0.17,ci,ci37522824,2016-02-11T14:03:30.290Z,"2km NW of Wrightwood, California",earthquake,0.21,0.44,0.207,29,reviewed,ci,ci
2016-02-11T08:14:30.880Z,46.4275,-121.5833333,10.68,1.67,ml,24,191,0.3589,0.14,uw,uw61108317,2016-02-11T18:44:27.630Z,"20km SSE of Packwood, Washington",earthquake,0.77,12.03,0.188,29,reviewed,uw,uw
2016-02-11T07:56:30.210Z,33.9936667,-116.9723333,17.49,1,ml,31,51,0.1041,0.19,ci,ci37522816,2016-02-11T14:02:32.618Z,"7km N of Beaumont, California",earthquake,0.29,0.69,0.197,29,reviewed,ci,ci
2016-02-11T07:38:12.490Z,46.8943333,-112.53,12.24,1.35,ml,11,126,0.181,0.13,mb,mb80124089,2016-02-11T15:24:50.400Z,"13km ESE of Lincoln, Montana",earthquake,0.43,0.92,0.002,2,reviewed,mb,mb
2016-02-11T07:35:07.920Z,35.7978325,-120.3431702,8.7,1.8,md,30,69,0.02494,0.06,nc,nc72589210,2016-02-11T10:27:06.211Z,"16km N of Shandon, California",earthquake,0.3,0.47,0.27,16,automatic,nc,nc
2016-02-11T07:14:36.810Z,6.7887,-73.032,165.02,4.8,mb,,42,1.469,1.34,us,us20004zge,2016-02-11T15:17:13.050Z,"10km N of Aratoca, Colombia",earthquake,5.3,8.2,0.097,33,reviewed,us,us
2016-02-11T07:02:23.370Z,3.9596,-82.7302,10,4.8,mb,,82,4.46,1.13,us,us20004zgd,2016-02-11T15:05:06.142Z,"South of Panama",earthquake,3.1,1.9,0.1,31,reviewed,us,us
2016-02-11T06:59:45.280Z,47.495,-121.7568333,14.428,1.63,ml,7,220,0.2049,0.14,uw,uw61108302,2016-02-11T18:39:46.530Z,"2km E of North Bend, Washington",earthquake,0.77,1.87,0.064,4,reviewed,uw,uw
2016-02-11T06:52:36.820Z,34.1315,-117.002,6.65,1.48,ml,84,31,0.06665,0.15,ci,ci37522784,2016-02-11T15:59:05.780Z,"12km NNE of Yucaipa, California",earthquake,0.11,0.38,0.122,67,reviewed,ci,ci
2016-02-11T06:30:23.390Z,39.2446671,-122.7925034,6.27,2.66,md,31,78,0.2696,0.17,nc,nc72589200,2016-02-11T16:01:19.359Z,"13km NE of Upper Lake, California",earthquake,0.29,1.43,0.13,29,automatic,nc,nc
2016-02-11T06:20:37.000Z,19.0422,-67.9685,26,3.2,Md,16,320.4,0.80219555,0.43,pr,pr16042001,2016-02-11T14:23:18.012Z,"68km NE of Punta Cana, Dominican Republic",earthquake,2.3,26.5,0,15,reviewed,pr,pr
2016-02-11T06:13:09.380Z,44.9567,-70.5526,6.47,2.5,ml,,95,0.262,0.3,us,us20004zg9,2016-02-11T07:23:08.037Z,"22km NW of Phillips, Maine",earthquake,1.4,7.2,0.085,18,reviewed,us,us
2016-02-11T06:08:01.150Z,47.5743333,-122.5935,25.545,2.24,ml,29,38,0.03779,0.23,uw,uw61108297,2016-02-11T06:38:12.811Z,"1km SSE of Enetai, Washington",earthquake,0.43,0.66,0.236,74,reviewed,uw,uw
2016-02-11T06:05:17.400Z,18.3285,-68.6818,142,3.7,Md,15,342,1.14355536,0.27,pr,pr16042000,2016-02-11T14:07:58.903Z,"9km SW of Boca de Yuma, Dominican Republic",earthquake,3.9,2,0,13,reviewed,pr,pr
2016-02-11T05:43:11.540Z,47.232,-121.199,10.24,1.83,ml,22,62,0.2436,0.13,uw,uw61108197,2016-02-11T18:54:23.870Z,"20km WNW of Cle Elum, Washington",earthquake,0.26,13.2,0.104,47,reviewed,uw,uw
2016-02-11T05:39:04.660Z,35.9633333,-117.4655,4.38,1.41,ml,19,77,0.09636,0.16,ci,ci37522768,2016-02-11T14:04:41.840Z,"22km NNW of Searles Valley, California",earthquake,0.27,0.61,0.181,17,reviewed,ci,ci
2016-02-11T05:27:11.400Z,18.252,-68.416,119,3.3,Md,11,338.4,1.2576414,0.36,pr,pr16042003,2016-02-11T13:29:44.110Z,"24km SE of Boca de Yuma, Dominican Republic",earthquake,5.9,3.5,0,4,reviewed,pr,pr
2016-02-11T05:16:38.620Z,33.1575,-115.6511667,2.74,2.03,ml,48,42,0.03505,0.24,ci,ci37522752,2016-02-11T15:40:29.840Z,"13km WNW of Calipatria, California",earthquake,0.19,0.35,0.168,63,reviewed,ci,ci
2016-02-11T05:13:58.190Z,33.159,-115.649,2.69,1.46,ml,35,42,0.03272,0.27,ci,ci37522744,2016-02-11T15:26:02.637Z,"13km WNW of Calipatria, California",earthquake,0.26,0.41,0.147,39,reviewed,ci,ci
2016-02-11T04:57:11.290Z,33.158,-115.65,2.53,1.55,ml,41,43,0.03402,0.23,ci,ci37522736,2016-02-11T15:15:38.403Z,"13km WNW of Calipatria, California",earthquake,0.24,0.39,0.177,44,reviewed,ci,ci
2016-02-11T04:26:03.630Z,38.8145,-122.8181667,2.61,1.08,md,42,79,0.01028,0.05,nc,nc72589160,2016-02-11T12:28:34.995Z,"6km NW of The Geysers, California",earthquake,0.18,0.3,0.166,14,reviewed,nc,nc
2016-02-11T04:18:11.400Z,35.6985,-121.0055,6.74,1.44,md,35,56,0.1141,0.07,nc,nc72589150,2016-02-11T10:01:04.147Z,"11km WSW of Lake Nacimiento, California",earthquake,0.17,0.58,0.233,24,reviewed,nc,nc
